horizon,var_response,value,sd,lower_95,upper_95,lower_68,upper_68,var_shocked
3,reer_obs,-0.16141206888379467,0.0681972204079336,-0.2738620606123834,-0.04930856960121256,-0.1953746768849769,-0.12663156350731752,smdi_obs
3,smdi_obs,0.11999520579406696,0.05069843633145409,0.0366564408573949,0.20359155637877732,0.09413906053099715,0.1452433186804649,smdi_obs
3,wy_obs,0,0,0,0,0,0,smdi_obs
3,y_a_obs,-1.080874525926311,0.4566736476873071,-1.833880991555342,-0.3301883010382872,-1.3083006290445798,-0.8479714814374766,smdi_obs
3,y_obs,-0.13332984766020614,0.05633237384736947,-0.2262159643567094,-0.04072994119172947,-0.16138369383326356,-0.10460040062778386,smdi_obs
4,c_obs,-0.05916253572089199,0.024996399069481142,-0.10037894970073016,-0.018073121982458577,-0.0716108862249126,-0.04641440042991876,smdi_obs
4,h_obs,-0.053355645437696365,0.022542965573049887,-0.09052660749544642,-0.016299218360036803,-0.06458217194950963,-0.041858758458648934,smdi_obs
4,i_obs,-0.6376354769742939,0.26940344339703565,-1.0818532148885174,-0.19478650830765684,-0.7717999412667096,-0.5002400251440897,smdi_obs
4,reer_obs,-0.08641742037339792,0.03651169274419332,-0.14662133370772598,-0.0263990135106108,-0.10460045335792684,-0.06779649831531995,smdi_obs
4,smdi_obs,0.045780946830710635,0.01934262625520015,0.013985280151738028,0.07767488839307678,0.03591622928885149,0.055413685955402525,smdi_obs
4,wy_obs,0,0,0,0,0,0,smdi_obs
4,y_a_obs,-0.9641889568733534,0.4073735456183673,-1.635904776978863,-0.29454289643569187,-1.1670633256105112,-0.7564289087531822,smdi_obs
4,y_obs,-0.10674274744080499,0.045099221666068445,-0.18110658621575326,-0.03260804615173365,-0.1292024192198167,-0.08374219533253825,smdi_obs
5,c_obs,-0.052027596186474935,0.021981859652504744,-0.08827335402407138,-0.01589352249484822,-0.06297468872264188,-0.040816872593113285,smdi_obs
5,h_obs,-0.04324525937024317,0.018271288542828532,-0.07337267854102081,-0.013210671892913261,-0.052344466152348154,-0.033926922851573484,smdi_obs
5,i_obs,-0.525500071875312,0.22202580311306344,-0.8915971000863439,-0.16053109937002666,-0.6360701988126176,-0.41226716307493794,smdi_obs
