YEARS;smdi_obs;wy_obs;wp_obs;wr_obs;y_obs;p_obs;y_a_obs;p_a_obs;c_obs;i_obs;q_obs;h_obs;r_obs;ex_rate_obs;reer_obs
1999.75;-0.4246;2.1405891332440916;0.12213927307156425;1.1560858918394485;0.4230497213925615;-0.5167970158442614;1.6821980222897153;1.6577659559311009;1.8621136885074532;0.042088386176266195;10.223873051989852;-3.4049803837447006;1.3425;-2.890132315493304;-3.829710952838017
2000;-0.4505;1.3606543870337136;0.5026773955087549;1.150272948109809;2.288243621174497;0.3878479328570883;4.038541949872102;1.915767335302121;0.9920562156199387;10.820392931125498;-7.193496975940411;-3.7956542017186243;1.49;-2.826954609053795;-1.1805835009551124
2000.25;-0.4268;2.566432155268441;0.20123604948762974;1.2532209855094691;0.48776256148843394;1.154599099706033;-2.309590083405597;3.633375918291115;0.7094423860176449;3.8494329266426686;-1.233409121928497;-4.032216278131339;1.6775;-3.5329004722758217;-1.077909362880547
2000.5;0.1457;1.8208715192447686;0.3616133431461499;1.287834164977446;-0.35666381052221857;1.141420128444004;-3.6586455613834348;8.586708077725635;0.7232386423753562;7.347116416197283;-3.485469677604225;-2.8254617325102984;1.685;-9.650812498420972;-6.287539182285595
2000.75;0.1834;1.7179202012208743;0.21255793207108908;1.2995225969355166;-0.3775743782781816;1.9975695423643636;-4.596907051910481;2.8963548169392617;-1.1323989792110931;1.1011480216595366;-8.416362394075955;-2.060627675057332;1.6675;-14.267270430635905;-3.4683991380850543
2001;0.5531;0.36566857045718865;0.475262715548741;1.0786480221497163;-2.012119768794192;1.3505423199807964;-3.7710893069048574;-1.3136478251007944;-2.7224827815858457;-8.714869552942396;5.163541616560694;-2.760686967563888;1.605;-8.797214873708793;5.202139651938342
2001.25;0.4117;0.38858094741411714;0.17399747821338352;0.8838645737811001;0.49561914782654326;0.24360547978803382;-5.7726227235395795;3.252319189146391;-1.3940613921008862;-0.6770325420329808;2.4897640890235455;-1.0443223009461504;1.465;-10.610817186054357;-1.3748487043660162
2001.5;0.762;-0.85666665793193;0.155007523201256;0.7644386025225012;-0.4921653893455189;-0.24360547978803382;-17.869619798875842;8.947500663668162;-0.5535885726605393;-6.226564224787204;-11.173235343631806;-1.3150077742460111;1.4325;-10.540746202832983;1.1827172972863842
2001.75;-0.6162;-1.3713095897505603;0.21596518835469425;0.5318237626250162;-0.08167479035042827;1.9324272826402478;-17.50814713062307;-0.807936927383679;-2.3739878570444075;-2.8322072357103423;8.979117667915574;-0.7555657557135631;1.24;-12.020513057763635;-0.14434119509871834
2002;-1.8267;-1.2927754618172513;0.3180445556714595;0.49627285553196276;-0.010567640607471408;0.11954574047736699;-15.535170176303753;-0.8145176302068791;-3.143444637437245;-9.541421285009859;0.5832456099791022;0.15611161298128431;1.2575;-8.861150851941854;3.6065889063959133
2002.25;0.2639;-1.433485324780842;-0.008172098918635129;0.5051367550408016;-0.19903921959305107;-0.9603915354180259;-17.504686685260427;-1.046347376925283;-0.3751228073507497;-9.898287400432876;0.8044377945191972;0.33044787280693655;1.455;-4.183401694071809;5.945914513755035
2002.5;0.1358;-1.7756234327261748;0.33115620124144485;0.4856488139259917;0.4843489873672632;0.7211569715559918;-13.909774783256553;-5.481881792588883;-1.061084329645288;-5.058914584152192;-4.947341829301233;0.42331748918080714;1.4775;-6.625540152312405;-0.538525744504259
2002.75;0.1848;-2.3672431820625226;0.373280427567213;0.4409298148502536;1.5085109957281135;-1.5691329794675468;-12.360595244269398;-0.7168489091413655;0.8671213104676991;-3.614043383476834;-0.4644829532943373;0.13108874292252584;1.475;-3.1430114812696517;4.9930420574618495
2003;0.8274;-2.3405621609997502;0.2025445162763262;0.38803992987618097;0.8237931828598188;0.968530573446369;-4.132732404711632;-5.927661082778979;0.41473777059964895;-1.1043590590034202;-4.289459212292468;0.43314696577271733;1.4575;2.5940724807314552;6.3322550608877926
2003.25;0.6408;-2.082365451362154;0.15100973157515796;0.36161616766491744;-0.5487597100116591;1.197619104671599;2.3249199286445323;-2.056627742843542;-0.8474050661570488;-2.448350331482978;10.195480022027182;0.4166919488727959;1.3625;2.124004153191216;0.1998073951216206
2003.5;0.4801;-1.0256789118778042;0.3097016203611247;0.3392680412987086;-0.45264575704215837;0.7117467768863683;7.42964791692301;1.5464226287242866;-0.785339792547542;0.386328484111989;0.13425070362010905;0.9530537939982869;1.28;2.977511319741629;2.098657395781345
2003.75;-0.2592;-0.539226226515749;0.23098204911091713;0.35699694770951773;-0.08849353747854606;0.5892768967151518;8.027648317550122;1.27066515148071;-0.057119169704318365;2.5689286877555078;2.717491569954833;-0.06063592639298826;1.3225;4.007836221168819;2.5807216999969462
2004;-0.9313;-0.7847258122343228;0.4942703269002813;0.35402262031563503;1.2282222535287006;0.3519065215195738;11.045907279702345;-3.2509278528975116;0.634197999191823;2.7816394017436115;1.5021259711227475;1.056869012250358;1.3725;7.327330905274794;4.193297958319775
2004.25;-0.7274;-0.7188634736569851;0.5283712093993032;0.3903934455840582;0.67955387283005;1.5107782991971241;7.088140713782807;1.9802627014168017;-1.0825507740644047;7.6899737202818645;0.7755635448685294;0.11173053953446657;1.4625;1.716384550765614;-4.332855820887449
2004.5;-0.3769;-0.35427178000203186;0.38610847760773837;0.46527434518538224;0.46083570417705955;1.3745920904635334;-0.5395797357794514;2.774452806893013;-0.7938327316021643;4.874608942834783;1.6297676224334978;0.9222823089274634;1.61;4.219439417345462;4.133688340144914
2004.75;-0.6515;0.18848561356207744;0.47624919625928186;0.5435640120341774;-0.19104211698808307;0.5672164952466474;-1.43618049724744;-0.4987540784156863;-0.5413728582232794;-1.7077151801228165;5.411580372085151;3.3486841412091164;1.6825;6.6440080542957025;3.4088916327056573
2005;-0.3861;0.9002426381114972;0.4537221977301442;0.6232654353534405;-0.9699936388281751;0;2.8023004016076385;-2.6172874910065147;-0.281530951441322;3.6842948666075195;-3.143041115358286;2.261763925142654;1.715;7.156338696005691;0.786588078533601
2005.25;-0.0677;0.800207826033257;0.4755548248562391;0.6865240799130204;0.6979134424234832;0.5640172876261396;6.5067172914544305;0.5970167761320866;1.0897436758837975;3.60762760753936;2.714180649995429;2.1097795018819148;1.76;8.140661546175297;1.5455969830796334
2005.5;0.6077;1.0311882104076262;0.4780258807316251;0.75220070972263;0.01740479522412748;1.2297527810406272;7.419347426572304;2.850150966726872;0.004032574211968646;1.820595931265639;2.2969364913935113;1.8681672186616747;1.7625;5.953389788713519;-1.6647603450434367
2005.75;0.395;0.9944019711863255;0.49494035707748907;0.8420187157387835;-0.5064345358027671;-0.4454350349380576;9.104960643364887;-1.750774141140088;1.3874070114334252;3.056989149744345;-2.943689269457667;1.8961654367526863;1.8725;7.979532760321173;2.1480835880077542
2006;-0.0366;1.836738563868134;0.4214510822857953;0.9139040856558618;-0.5984517526593616;0.22296553272695974;18.864182265377384;-4.559929762153203;1.8276608356960415;1.7515772025588672;5.662581295941041;2.2946351877905697;1.8875;3.0534470639520976;-5.103148001244584
